ID,Card Type,Card Role,Card Name,Card Instructions,Card Description,Scaled GHG,Scaled Money,Hope,Momentum,Epic Good,Epic Bad,Preceding Event,Shuffle In ID?
25,Action,Business,Invent Better Cement,,Cement is currently responsible for 8% of global emissions - and cement production is growing astronomically.,-2,1,0,0,0,0,,
26,Action,Government,Retrofit Existing Buildings,,Making buildings more energy efficient cuts energy use and bills.,-2,-2,0,0,0,0,,
27,Action,Family,Use LED Lights,,Save money and lower emissions with efficient LEDs  in your home<c> company<c> and city.,-2,2,0,0,0,0,,
28,Action,Business,Educate Kids Online,,Create a global online school to educate everyone on how to care for themselves<c> their families<c> and the planet.,-2,2,1,1,0,0,,
29,Action,Government,Make All Vehicles Electric,,Carbon emissions drop 50-95% using electric vehicles compared to gasoline-powered vehicles.,-2,-2,0,0,0,0,,
30,Action,Government,Tax Pollution,,Implement a global carbon tax on emissions. Economists can confirm<c> when something costs more<c> we use less of it.,-4,2,0,0,0,0,,
31,Action,Business,Invent New Bio-Coolants,,Replace super greenhouse gases with natural alternatives that keep us AND the planet cool.,-3,-3,1,1,0,0,,
32,Action,Business,Build Solar Powered Airships,,Travel and ship cargo with the sun instead of jet fuel.,-2,-2,1,1,0,0,,
33,Action,Government,Make Smarter Grids,,Upgrade energy grids around the world with smart technology<c> better storage<c> and power management optimized for renewables.,-3,-2,0,1,0,0,,
34,Action,Government,Cultivate Kelp Continents,,Replace the great Pacific garbage patch with a forest of fast-growing<c> CO2-eating kelp.,-3,-3,1,1,0,0,,
35,Action,Government,Foster Ocean Farming,,Small-scale farms with complimentary species provide biofuels and food while taking CO2 out of the oceans.,-2,-2,0,1,0,0,,
36,Action,Nonprofit,Protect Tropical Forests,,Engage with and support local communities to protect and restore rainforests.,-4,-2,1,0,0,0,,
37,Action,Nonprofit,Restore Temperate Forests,,1.4 billion acres in the Northern Hemisphere could be reforested.,-2,-2,1,0,0,0,,
38,Action,Business,Make Fuel From Algae,,Replace liquid fossil fuels with living fuels<c> renewable<c> from algae.,-2,-2,0,1,0,0,,
39,Action,Family,Switch Banks,,Move your money to a bank that doesn't fund the fossil fuel industry.,-1,1,0,1,0,0,,
40,Action,Family,Retire On A Living Planet,,Move your 401K investments into funds that promote sustainable companies.,0,2,1,1,0,0,,
41,Action,Business,Be An Angel Planet Investor,,Invest in startups with promising new solutions to combat climate change.,-1,-1,1,1,0,0,,
42,Action,Family,Befriend Your Representative,,Encourage and support your elected officials in making climate-positive policy.,0,2,1,1,0,0,,
43,Action,Business,Unite Employees,,Work with your colleagues to influence your company to be more climate-friendly.,-1,-1,1,1,0,0,,
44,Action,Nonprofit,Take It To court,,Use the legal system to ensure governments and businesses are protecting our rights to a livable planet.,-1,-1,0,1,0,0,,
45,Action,Family,Ditch School,,Ensure your education has a future. Leave school each month to talk to elected officials or take action.,0,1,1,1,0,0,,
46,Action,Government,Scale Up Composting,,Divert organic matter from landfill to save money<c> create fertilizers<c> and reduce emissions.,-1,-1,0,0,0,0,,
47,Action,Business,Switch To Bio-Plastics,,90% of plastics could come from plant-based sources instead of fossil fuels. Designed right<c> they decompose too.,-1,1,0,1,0,0,,
48,Action,Government,Expand Wind Farms,,Wind will soon be the cheapest source of electricity.,-4,-2,0,1,0,0,,
49,Action,Business,Slow Our Fashion,,Fast fashion business models and plastic fabrics damage the climate.  Let's make better quality<c> longer lasting<c> lower impact clothes.,-2,1,0,0,0,0,,
50,Action,Government,Fund Innovation,,Public and private funds to support innovative new climate solution businesses.,-2,-2,0,1,0,0,,
51,Action,Business,Manage Risk,,Insurance agencies refuse to insure new fossil fuel projects.,-1,-1,0,0,0,0,,
52,Action,Business,Build A Better Cloud,,By 2040<c> storing digital data is set to create 14 percent of the world’s emissions.,-1,-1,0,1,0,0,,
53,Action,Business,Switch To Remote Work,,Replace some in-person meetings and save time<c> money and carbon emissions.,-1,1,0,1,0,0,,
54,Action,Nonprofit,Bring Whales Back,,Whales play a vital role in helping the ocean absorb carbon.,-2,-2,1,0,0,0,,
55,Action,Business,Build Better Buildings,,Make buildings much more energy efficient through better design and smarter technology.,-2,-2,0,1,0,0,,
56,Action,Family,Let Them Know,,Write an email or use social media to tell your favorite brand you want them to do better on pollution.,0,1,1,1,0,0,,
57,Action,Business,Take Animals Out,,Replace animals with meats that are lab-grown or plant-based.,-2,-2,0,0,0,0,,
58,Action,Business,Scale Up Solutions,,Use the power of scale and influence to solve the climate crisis and transform the green economy.,-4,-2,0,1,0,0,,
59,Action,Nonprofit,Refresh Rural Energy,,Clean energy provides jobs and local revenues so people can stay in their hometowns.,-2,1,1,1,0,0,,
60,Action,Nonprofit,Energize Communities Of Color,,Clean energy improves health<c> green economy jobs build wealth.,-2,1,0,1,0,0,,
61,Action,Nonprofit,Trust Indigenous Communities,,Clean renewable energy means jobs and energy independence on native lands.,-2,1,0,1,0,0,,
62,Action,Government,Invest In Direct Air Capture,,New technologies are being designed that suck the CO2 out of the air.,-2,-3,0,1,0,0,,
63,Action,Nonprofit,Preserve Peatlands,,Small but mighty<c> peat lands cover just 3% of Earth's land but they sequester two times more carbon than forests.,-2,-2,0,0,0,0,,
64,Action,Nonprofit,Rewild The World,,Restore ecosystems so they are more resilient and sequester carbon.,-1,-1,1,0,0,0,,
65,Event,Human Event,Continue As Usual,Skip your turn.,100s of billions of further investment is being put into fossil fuels globally resulting in more carbon pollution.,1,1,-1,0,0,0,,
66,Event,Epic Bad Event,Fish Extinction!,All solutions cost double this turn.,Use natural underground hotspots for abundant<c> always available<c> renewable energy.,2,-4,-1,0,0,1,Ocean Acidification,
67,Event,Natural Event,Wildfires,Shuffle in Amazon Burns!,Wildfires blaze<c> causing widespread property damage and destroying millions of acres of plant life.,2,-1,-1,0,0,0,,68
68,Event,Epic Bad Event,Amazon Burns!,Discard all your solution cards.,Widespread degradation turns the forest into savannah. Instead of sequestering 20% of our global carbon<c> it becomes a net emitter.,4,-2,-1,0,0,1,Wildfires,
69,Event,Natural Event,Hurricanes,Shuffle in Hypercane!,A season of strong hurricanes cause a heartbreaking amount of damage and loss of life.,1,-2,-1,0,0,0,,70
70,Event,Epic Bad Event,Hypercane!,Discard all your solution cards.,An ocean storm more powerful than any before rips open the ozone layer<c> causing extensive damage to life on Earth.,3,-2,-1,0,0,1,Hurricanes,
71,Event,Natural Event,Heat Waves,Shuffle in Global Drought!,Heatwaves swelter the globe<c> killing the most vulnerable: children and the elderly.,2,-1,-1,0,0,0,,72
72,Event,Epic Bad Event,Global Drought!,All solutions cost double this turn.,Widespread droughts destabilize communities and the global food system. Millions die<c> food becomes really expensive.,3,-4,-1,0,0,1,Heat Waves,
73,Event,Natural Event,Infectious Diseases,Shuffle in Pandemic!,Many diseases and the critters that spread them<c> like ticks and mosquitos<c> thrive in warmer weather. Tropical diseases spread globally. ,1,-1,-1,0,0,0,,91
74,Event,Natural Event,Extreme Storms,,Rainstorms<c> tornadoes and snow storms are more frequent and last longer causing chaos and costly damage. ,1,-1,-1,0,0,0,,
75,Event,Natural Event,Thawing Permafrost,Shuffle in Ice Caps Melt!,Frozen for 10<c>000 years<c> permafrost melts from increased global temperatures<c> releasing millions of tons of methane<c> worsening the climate crisis. ,2,-1,0,0,0,0,,76
76,Event,Epic Bad Event,Ice Caps Melt!,Discard all your solution cards.,Carbon stores contained in the ice get released. Coastal cities are submerged underwater.,2,-4,-1,0,0,1,Thawing Permafrost,
77,Event,Natural Event,Sunny Days,,All is calm...,0,0,0,0,0,0,,
78,Event,Human Event,Short-Term Focus,Skip your turn.,Quarterly earnings and reelections take precedence. Business as usual continues.,2,1,0,0,0,0,,
79,Event,Human Event,Risk Aversion,All solutions cost double this turn.,Taking bold action is perceived as risky<c> decision-makers don't want to do it.,1,0,0,0,0,0,,
80,Action,Government,End Fossil Fuel Subsidies,,100s of billions of further investment is being put into fossil fuels globally resulting in more carbon pollution.,-2,2,0,0,0,0,,
81,Event,Human Event,No Action Plan,Skip your turn.,People<c> governments<c> and corporations don't have ambitious plans.,2,0,0,0,0,0,,
82,Event,Human Event,Distracted By Other News,No momentum cards can be played this turn.,The latest events win the news cycle. Climate is out of sight<c> out of mind.,1,0,0,0,0,0,,
83,Event,Human Event,Diverting Funds,All solutions cost double this turn.,Disaster recovery is taking resources from fighting the causes of climate change. We treat the symptoms only<c> not the underlying disease. ,2,-1,-1,0,0,0,,
84,Event,Natural Event,Climate Refugees,,Fleeing from storm damage<c> droughts<c> and fires people need to find a new home.,1,-2,-1,0,0,0,,
85,Event,Human Event,You Go First,No momentum cards can be played this turn.,People<c> governments<c> and corporations won't take action unless others do,2,0,0,0,0,0,,
86,Event,Epic Good Event,Forests Flourish Globally!,Anyone can immediately play any plant or tree based solutions.,Tropical<c> temperate<c> and bamboo forests expand rapidly<c> taking billions of tons of CO2 out of the air.,-2,2,1,1,1,0,,
87,Event,Epic Good Event,Aquifers Replenish!,Anyone can immediately play any land based solutions.,Water reserves in the ground<c> once depleted<c> return anew<c> providing water for drinking<c> agriculture<c> and nature.,-2,2,1,1,1,0,,
88,Event,Epic Good Event,Oceans Flourish Globally!,Anyone can immediately play any water-based solutions.,Ocean phytoplankton flourish again. Eating a planet-sized portion of CO2 while feeding hungry marine life.,-2,2,1,1,1,0,,
89,Event,Epic Good Event,Trophic Cascade!,Anyone can immediately play any animal-based solutions.,Plant and animal life begin thriving again. Extinctions become rare. Many new species are discovered.,-2,2,1,1,1,0,,
90,Event,Natural Event,Ocean Acidification,Shuffle in Fish Extinction!,Forced to absorb too much CO2<c> oceans become more acidic. Coral reefs and fish die.,-1,0,0,0,0,0,,66
91,Event,Epic Bad Event,Pandemic!,Discard all your solution cards.,Infectious diseases thrive in warmer weather and climate chaos and pollution make humans more susceptible. A pandemic breaks out that kills millions. ,1,-4,-1,0,0,1,Infectious Disease,
92,Action,Government,Use Geothermal Energy,,Use natural underground hotspots for abundant<c> always available renewable energy.,-2,-2,0,1,0,0,,
